관서명,주소,위도,경도
을지지구대,서울특별시 중구  을지로 234,37.5664707,127.0039404
광희지구대,서울특별시 중구  퇴계로 375-1,37.5652432,127.0133851
약수지구대,"서울특별시 중구  동호로 5길 15, 약수지구대",37.5521475,127.0123488
신당파출소,"서울특별시 중구  다산로 248 (신당동, 신당파출소)",37.5650079,127.0163825
장충파출소,서울특별시 중구  동호로 261,37.5588159,127.0048761
충무파출소,서울특별시 중구  퇴계로 178,37.5608522,126.9915765
을지로3가파출소,서울특별시 중구 충무로56-1,37.5661811,126.9928486
종로2가지구대,서울특별시 종로구  종로17길 4 종로2가파출소,37.5705017,126.9889217
관수파출소,서울특별시 종로구  삼일대로 386,37.5689572,126.98815
세검정파출소,서울특별시 종로구  세검정로 226 ,37.6000351,126.9584514
평창파출소,서울특별시 종로구  평창문화로 46,37.6047609,126.9654294
삼청파출소,서울특별시 종로구  삼청로 66,37.5814059,126.9811324
통의파출소,서울특별시 종로구  효자로 9,37.5767705,126.9740008
청운파출소,서울특별시 종로구  자하문로 92-1,37.5841381,126.9705976
옥인파출소,서울특별시 종로구  자하문로17길 24,37.5814725,126.9694271
교남파출소,서울특별시 종로구  송월길 167(교북동 10-38),37.5722606,126.9611435
세종로파출소,서울특별시 중구  세종대로 141,37.5689364,126.9764239
신문로파출소,서울특별시 종로구  경희궁길 6-3,37.570751,126.9722054
사직파출소,서울특별시 종로구  사직로9길 1,37.5759361,126.967264
청진파출소,서울특별시 종로구  삼봉로 33 청진파출소,37.5725619,126.978997
태평로파출소,서울특별시 중구  다동길 11,37.5680342,126.9800551
서울역파출소,서울특별시 중구  통일로 13,37.5562987,126.9718126
명동파출소,서울특별시 중구  명동길 30 명동파출소,37.5635808,126.983966
남대문파출소,서울특별시 중구  남대문시장4길 28-16,37.5594216,126.9762398
중림파출소,서울특별시 중구  중림로 36,37.5578847,126.9671311
회현파출소,서울특별시 중구  퇴계로6길 3-10,37.5578126,126.9790112
서소문파출소,서울특별시 중구  서소문로 131-1 서소문파출소,37.5638544,126.975449
충정로지구대,서울특별시 서대문구  독립문로 25-1,37.5698922,126.9611209
신촌지구대,서울특별시 서대문구  신촌역로 22,37.5585748,126.9429921
홍은파출소,서울특별시 서대문구 세검정로1길 112,37.5952417,126.946418
연희파출소,서울특별시 서대문구  연희로25길 73,37.5703278,126.9329029
남가좌파출소,서울특별시 서대문구  가재울로4길 51,37.5760219,126.9240678
북가좌파출소,서울특별시 서대문구  증가로 244,37.5829851,126.9128737
홍제파출소,서울특별시 서대문구  통일로 441-1,37.5881612,126.9445399
홍은2파출소,서울특별시 서대문구  연희로 298,37.5836756,126.9361657
